service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
81,1,1,1,1,1,0,0,20211119,20211211
189,1,1,1,1,1,1,1,20211119,20211212
184,0,0,0,0,0,1,0,20211121,20211212
7864,1,1,1,1,1,0,0,20211119,20211211
7865,0,0,0,0,0,1,0,20211121,20211212
7866,1,1,1,1,1,0,0,20211214,20211218
481,0,0,0,0,1,0,1,20211120,20211211
6,1,1,1,1,1,0,1,20211119,20211211
183,1,1,1,1,1,1,0,20211119,20211212
185,0,0,0,0,0,0,1,20211122,20211206
7834,0,0,0,0,0,1,1,20211121,20211212
7867,1,1,1,1,1,0,0,20211214,20220217
7868,0,0,0,0,0,1,1,20211213,20220214
7869,1,1,1,1,1,1,1,20211213,20220217
309,1,1,1,1,1,0,0,20211214,20220217
332,1,1,1,1,1,1,0,20211214,20220217
7870,0,0,0,0,0,1,0,20211121,20211212
368,0,0,0,0,0,1,0,20211219,20220213
839,1,1,1,1,1,0,0,20211214,20220217
370,0,0,0,0,0,0,1,20211213,20220214
333,0,0,0,0,0,0,1,20211213,20220214
190,1,1,1,1,0,0,0,20211119,20211210
4229,0,0,0,0,0,1,1,20211213,20220214
548,0,0,0,0,1,0,0,20211218,20220212
4227,0,0,0,0,0,1,0,20211205,20211212
4556,1,1,1,1,1,0,0,20211201,20211211
291,1,1,1,1,0,0,0,20211214,20220217
3703,0,1,1,1,1,1,1,20211201,20211212
6619,0,0,0,0,0,0,1,20220207,20220208
2506,0,0,0,0,0,0,1,20211213,20220214
6623,0,0,0,0,1,1,0,20220205,20220206
6621,0,0,0,0,1,1,0,20211218,20220213
6620,1,1,1,1,0,0,1,20211213,20220217
4650,0,0,0,0,0,0,1,20211206,20211212
4652,1,1,1,1,1,0,0,20211214,20220217
4651,1,1,1,1,1,0,0,20211119,20211211
999,0,0,0,1,0,0,0,20211224,20211231
6634,0,0,0,0,0,0,1,20211213,20220214
402,1,1,1,1,1,0,0,20211214,20220217
4649,0,0,0,0,0,1,1,20211213,20220214
6633,1,1,1,1,1,0,0,20211201,20211211
3798,0,0,0,0,0,1,1,20211205,20211212
1350,0,0,0,0,0,1,0,20211219,20220213
426,1,1,1,1,1,1,1,20211213,20220217
5522,1,1,1,1,1,0,0,20211201,20211211
4193,0,0,0,0,0,1,1,20211205,20211212
6627,0,0,0,0,0,0,1,20211213,20220214
6638,1,1,1,0,1,0,0,20220118,20220217
6637,0,0,0,1,0,0,0,20220118,20220211
2075,1,1,1,1,1,1,0,20211201,20211212
382,0,0,0,0,0,1,1,20220206,20220207
6639,1,1,1,1,1,1,0,20211214,20220215
7874,0,0,0,0,0,1,1,20211129,20211212
6625,1,1,1,1,1,1,1,20211213,20220217
849,1,1,1,1,1,0,0,20211119,20211211
3791,1,1,1,1,1,1,0,20211201,20211212
5139,1,1,1,1,1,1,1,20211213,20220217
6642,0,1,1,0,1,1,0,20220202,20220217
3621,0,1,1,1,1,0,0,20211215,20220217
6612,1,1,1,1,1,0,1,20211213,20220217
421,0,0,0,0,0,1,0,20211219,20220213
2806,1,1,1,1,1,1,0,20211214,20220217
560,0,0,0,0,1,0,0,20211225,20220101
4734,0,0,0,0,0,1,0,20211219,20220213
1639,0,0,0,0,0,0,1,20211213,20220214
233,0,0,0,0,0,1,0,20211205,20211212
3445,0,0,0,0,0,0,1,20211213,20220214
4732,1,1,1,1,1,0,1,20220104,20220131
3202,0,0,0,0,0,1,1,20211122,20211212
4897,0,0,0,0,1,0,0,20211225,20220101
4731,1,1,1,1,1,0,0,20211201,20211211
4899,0,0,0,0,0,1,1,20211213,20220214
3622,0,1,1,1,1,0,0,20211119,20211211
4733,0,0,0,0,1,0,0,20220205,20220208
2883,0,0,0,0,0,0,1,20211213,20220214
1902,1,0,0,0,0,0,0,20211214,20220215
1636,0,0,0,0,0,0,1,20211213,20220214
7876,1,1,1,1,1,0,0,20211214,20220217
7877,1,1,1,1,1,0,0,20211201,20211211
1981,0,0,0,0,0,1,0,20211219,20220213
3737,1,1,1,1,1,0,0,20211201,20211211
3738,1,1,1,1,1,1,0,20211214,20220217
5611,0,1,1,1,1,0,0,20211201,20211211
6648,1,1,1,1,1,0,0,20211214,20220217
6666,0,0,0,0,0,1,1,20211213,20220214
6616,1,1,1,1,1,0,0,20211201,20211211
4877,0,0,0,1,1,0,0,20211119,20211120
180,1,1,1,1,1,0,0,20211123,20211211
4879,1,1,1,1,1,0,0,20211214,20220217
4161,1,1,1,0,0,0,0,20211221,20211223
261,0,0,0,0,0,1,0,20211121,20211212
6615,1,1,1,1,1,1,1,20211213,20220214
6614,1,1,1,1,1,0,0,20220201,20220217
204,1,1,1,1,1,0,0,20211123,20211127
2372,1,1,1,1,1,0,0,20211123,20211129
414,1,1,1,1,1,0,0,20211119,20211127
203,0,0,0,1,1,0,0,20211119,20211120
1121,1,1,1,1,1,0,0,20211119,20211204
