route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
OCE637148,OCESN,"","Car BUSSANG - REMIREMONT",,3,,,
OCE2002149,OCESN,"","PARIS MONTP DREUX ARGENTAN GRANVILLE",,2,,,
OCE701666,OCESN,"","BUS TER CHALONS-LANGRES",,3,,,
OCE1506035,OCESN,"","Paris-Vernon-Rouen-Le Havre",,2,,,
OCE16628,OCESN,"","Paris-Limoges-Toulouse + Eco Toulouse",,2,,,
OCE1113943,OCESN,"","Belfort / Vesoul - Belfort / Epinal",,2,,,
OCE725913,OCESN,"","Paris Bercy - Auxerre - Morvan",,2,,,
OCE909879,OCESN,"","Is-sur-Tille - Dijon - Les-Laumes",,2,,,
OCE725919,OCESN,"","Dijon - Bourg en Bresse (Multi-Activités)",,2,,,
OCE726006,OCESN,"","Paris Lyon - Laroche (omnibus)",,2,,,
OCE725905,OCESN,"","Paris Bercy - Dijon - Lyon (Multi-Activités)",,2,,,
OCE685637,OCESN,"","Les Arcs - Vintimille",,2,,,
OCESN-87765008-87318964,OCESN,"","Avignon-Centre - Avignon-TGV",,2,,,
OCESN-87765008-87753004,OCESN,"","Avignon-Centre - Miramas",,2,,,
OCE643,OCESN,"","Carcassonne-Quillan",,2,,,
OCE626,OCESN,"","Avignon-Port Bou",,2,,,
OCE384863,OCESN,"","Neussargues / Aurillac / Brive (ligne 10)",,2,,,
OCE4630,OCESN,"","Toulouse / Agen / Bordeaux",,2,,,
OCE645731,OCESN,"","" 	Toulouse / Figeac "",,2,,,
OCE384864,OCESN,"","Aurillac / Figeac / Capdenac",,2,,,
OCE1650134,OCESN,"","Limoges-Uzerche-Brive",,2,,,
OCE125,OCESN,"","Orleans-Vierzon-Chateauroux- Argenton-Limoges",,2,,,
OCE1650137,OCESN,"","Limoges-Gueret-Montluçon",,2,,,
OCE1650139,OCESN,"","Limoges-Ussel",,2,,,
OCE1650135,OCESN,"","Limoges-St Yrieix-Brive",,2,,,
OCE1650132,OCESN,"","Limoges-Angoulême",,2,,,
OCE1650136,OCESN,"","Limoges-Poitiers",,2,,,
OCE1650161,OCESN,"","Bordeaux-Agen",,2,,,
OCE1650144,OCESN,"","Ussel-Tulle-Brive-Perigueux-Bordeaux",,2,,,
OCE1650125,OCESN,"","La Rochelle Porte Dauphine-Angoulême",,2,,,
OCE1650127,OCESN,"","Royan-Angoulême",,2,,,
OCE1650128,OCESN,"","Royan-Niort",,2,,,
OCE1650124,OCESN,"","Poitiers-La Rochelle",,2,,,
OCE1650117,OCESN,"","Poitiers-Angoulême",,2,,,
OCE1650122,OCESN,"","Poitiers-Chatellerault",,2,,,
OCE1450007,OCESN,"","POITIERS - TOURS",,2,,,
OCE1209983,OCESN,"","Droué - Chartres - Courtalain",,2,,,
OCE1209975,OCESN,"","Salbris - Romorantin - Luçay le Mâle",,2,,,
OCE1209976,OCESN,"","Commentry / Montluçon / Vierzon",,2,,,
OCE1209979,OCESN,"","PAZ-ORL",,2,,,
OCE1209973,OCESN,"","Tours Chinon",,2,,,
OCE669661,OCESN,"","Nantes - Luçon - La Rochelle",,2,,,
OCE3,OCESN,"","Châteaubriant - Rennes",,2,,,
OCE587,OCESN,"","Le Mans / Alençon / Argentan  / Caen",,2,,,
OCE584,OCESN,"","(Lx) / Caen / St Lo / Coutances / Granville (Rennes)",,2,,,
OCE583,OCESN,"","Lisieux / Trouville-Deauville / Dives-Cabourg",,2,,,
OCE1526128,OCESN,"","Paris Caen",,2,,,
OCE616,OCESN,"","Rouen R.D. / Caen",,2,,,
OCE517,OCESN,"","Rouen Serqueux (Gisors) Amiens Lille (Le Tréport)",,2,,,
OCE323,OCESN,"","Luxembourg-Metz-Nancy",,2,,,
OCE357,OCESN,"","Dijon-Culmont-Neufchateau-Toul- Nancy",,2,,,
OCE360,OCESN,"","Reims-Bar Le Duc-Metz",,2,,,
OCE355,OCESN,"","Reims-Bar Le Duc-Nancy",,2,,,
OCE362,OCESN,"","Verdun-Conflans-Hagondange-Metz",,2,,,
OCE288845,OCESN,"","Verdun-Nancy",,2,,,
OCE324,OCESN,"","Luxembourg-Longwy-Nancy",,2,,,
OCESN-87746701-87746479,OCESN,"","Chedde - St-Gervais-L-B-Le-Fayet",,3,,,
OCE889852,OCESN,"","Cars travaux LY - GE (01-62)",,3,,,
OCESN-87746784-87746479,OCESN,"","Chamonix-Mont-Blanc - St-Gervais-L-B-Le-Fayet",,3,,,
OCESN-87763003-87335521,OCESN,"","Gap - Grenoble-Gare-Routière",,3,,,
OCESN-87335521-87763300,OCESN,"","Grenoble-Gare-Routière - Veynes-Dévoluy",,3,,,
OCESN-87747626-87335521,OCESN,"","Clelles-Mens - Grenoble-Gare-Routière",,3,,,
OCEFR=Line==A06C2948-C00E-4D5B-AD30-86FFEC3999D9=,OCESN,"","BELLEGARDE - GENEVE",,2,,,
OCESN-87741009-87742007,OCESN,"","Chambéry-Chal.-les-Eaux - Modane",,3,,,
OCESN-87742007-87741306,OCESN,"","Modane - St-Avre-la-Chambre",,3,,,
